feasibility_error_rp,optimality_error_rp,feasibility_error_no_rp,optimality_error_no_rp
4.0694007449515004e-08,2.219242976776429e-06,1.0313048351003356e-07,1.441563604627626e-06
3.098702574661152e-08,1.5745168367629677e-06,9.545318508605091e-08,8.251143026830359e-07
3.374323227960827e-08,1.1051760362251961e-06,8.624022461333428e-08,3.5772545525256573e-07
2.2962920784590555e-08,5.799120495437472e-07,9.215433614682895e-08,0.0
5.883992410766872e-08,4.379047604201584e-07,1.4275535216001658e-07,0.0
3.8775623150673064e-08,1.3201242439467552e-06,1.612927911555523e-07,5.205459476700863e-07
3.592246870671824e-08,1.3935607887027434e-06,1.138613436754395e-07,6.372542062803425e-07
3.2458522617556276e-08,2.6883964083112965e-06,1.1255839221834352e-07,1.9443746286283174e-06
2.5118354997264104e-08,1.7865520336737748e-06,9.657148546537714e-08,1.0609635626046198e-06
2.0846276832245653e-08,4.347486982582556e-07,4.4264536341986625e-08,0.0
3.0668910581601355e-08,2.157417323334706e-06,1.0337041592803947e-07,1.3551722351523214e-06
2.163799356686506e-08,1.4660690720973735e-06,9.659872126913037e-08,6.446737736509946e-07
6.51042656243801e-08,1.6930572879210548e-06,2.0265068072104435e-07,1.0031639684918953e-06
1.3735850871861423e-08,1.9793123299895954e-06,8.211792106393855e-08,1.245206236311111e-06
2.5409302788327876e-08,1.6772324021552717e-06,1.0665505912272123e-07,8.925793754267417e-07
3.391870210526958e-08,1.682735922239364e-06,1.0640669588039306e-07,1.0056325022045067e-06
4.507596611221887e-08,1.4114268178109952e-06,8.803016594968632e-08,6.671889230941361e-07
2.5204497612726986e-08,1.0619822658737307e-06,1.2836100838773478e-07,3.674879227183592e-07
5.205582247007122e-08,1.6236960462015702e-06,1.450317321147786e-07,8.772059821653957e-07
3.224693157591451e-08,1.956197920618334e-06,1.2624116011815678e-07,1.3029273089307107e-06
3.3540621548694395e-08,1.3332051961744748e-06,8.324796286823368e-08,6.656512910799859e-07
5.362260135410678e-08,1.7342909911602837e-06,1.6354998779112725e-07,9.729996519710038e-07
2.672107495453532e-08,1.7775632926250154e-06,6.360235686478947e-08,1.0733539988139065e-06
4.7904680003346516e-08,2.090485246061765e-06,1.3658123886391962e-07,1.3710204484319349e-06
4.674659015242991e-08,1.6459948966454951e-06,1.7718836720614433e-07,9.603553527523446e-07
8.472499520281686e-09,1.6737570023930706e-06,5.60663440960566e-08,8.789816429890123e-07
3.16123770625642e-08,1.5250859857217181e-06,9.025538210743088e-08,8.07523502357385e-07
5.443892302083985e-08,1.356898212188189e-06,1.3042636228043032e-07,6.567508888026154e-07
3.7168174196703234e-08,7.962051062624594e-07,9.744736039144564e-08,0.0
2.71331565951064e-08,1.1773237805475007e-06,6.013866729035055e-08,3.7233731672163206e-07
3.9900650158201987e-08,1.8072978550466673e-06,1.1507840209427148e-07,9.62279172879749e-07
3.338055361740405e-08,1.6618944627098716e-06,7.910523918360872e-08,8.996470589809685e-07
4.670304267888958e-08,1.1361863900786673e-06,1.324296590967404e-07,4.2009666979631626e-07
4.8643739395303714e-08,1.0530650564540207e-06,9.808967595868898e-08,3.736795930477368e-07
1.8472462989105946e-08,1.671870044940498e-06,1.3223206678701978e-07,9.256875415788707e-07
4.498760261984777e-08,9.056474825741718e-07,9.798006843378674e-08,2.3216688258171344e-07
2.1578656943284647e-08,1.3006300192534255e-06,8.658271716473127e-08,4.864375948980944e-07
2.1912049474620308e-08,1.1246582402391751e-06,1.1649189979349655e-07,2.953465951060767e-07
2.808289187143014e-08,1.836360740484559e-06,6.941746968289776e-08,1.0841151112933572e-06
2.7310202839340243e-08,2.2235836295682405e-06,1.0662637599725852e-07,1.4918978496310745e-06
3.5429188848662724e-08,1.8994936763104798e-06,1.4286536064909486e-07,1.148316835042985e-06
3.4970979898691454e-08,1.48826822491913e-06,6.649663672571712e-08,6.41930219723782e-07
4.657966464489253e-08,1.0310779267750874e-06,1.2478044615347185e-07,2.7726218471175836e-07
3.9407068337645205e-08,2.2170354490740136e-06,1.1956768465291186e-07,1.4063801838254122e-06
3.324757344994648e-08,1.697550826188767e-06,1.2700195453027537e-07,9.792223331037845e-07
5.076443240959421e-08,1.4151338118966555e-06,9.194049199664697e-08,6.826311249604646e-07
4.347837428219572e-08,2.2782338896627407e-06,8.247954897353461e-08,1.4846297740441297e-06
3.923838613834185e-08,1.3277727227959598e-06,1.2622424053356244e-07,5.540923979234716e-07
3.9883584177475804e-08,1.8013280123476327e-06,1.2101050723363986e-07,1.002142890732852e-06
